Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad
0.67,-0.0587552028889031,0.11197475050145,-0.00556557041540873,-0.0531837445016602
0.68,-0.0573265913889221,0.110374624986293,-0.00659491208994916,-0.0508058958167232
0.69,-0.0559018797636393,0.108737232861597,-0.00762059331753825,-0.0483838989019967
0.7,-0.054481789287471,0.107064240319902,-0.00864083199847194,-0.0459225521307006
0.71,-0.0530670386699059,0.105357344489049,-0.00965389659848092,-0.0434266059727558
0.72,-0.0516583428067627,0.103618270069881,-0.0106581082155143,-0.0409007550672392
0.73,-0.0502564115668787,0.101848766007529,-0.0116518424470072,-0.0383496307433123
0.74,-0.0488619486156801,0.100050602201803,-0.0126335310638477,-0.0357777939811238
0.75,-0.047475650276939,0.0982255662619647,-0.0136016634972329,-0.0331897288040205
0.76,-0.0460982044338933,0.0963754603107721,-0.0145547881445766,-0.0305898360932482
0.77,-0.0447302894707696,0.0945020978424675,-0.0154915135005977,-0.0279824278161828
0.78,-0.0433725732556244,0.0926073006390147,-0.0164105091196799,-0.0253717216589994
0.79,-0.0420257121652964,0.0906928957486421,-0.0173105064155536,-0.0227618360545688
0.8,-0.0406903501531444,0.0887607125304498,-0.0181902993043034,-0.0201567855962631
0.81,-0.0393671178601307,0.0868125797685651,-0.0190487446966574,-0.0175604768282515
0.82,-0.0380566317697009,0.084850322859059,-0.0198847628454583,-0.0149767044027865
0.83,-0.0367594934068051,0.0828757610725754,-0.0206973375541617,-0.0124091475949001
0.84,-0.035476288581303,0.0808907048953638,-0.021485516252144,-0.00986136716486973
0.85,-0.0342075866759015,0.0788969534511589,-0.02224840994254,-0.00733680255875667
0.86,-0.0329539399786737,0.0768962920061049,-0.0229851930282603,-0.0048387694372798
0.87,-0.0317158830601271,0.0748904895586866,-0.0236951030217692,-0.00237045752325276
0.88,-0.0304939321946954,0.0728812965163983,-0.0243774401441295,6.50712422079289e-05
0.89,-0.0292885848264524,0.0708704424606597,-0.0250315668187413,0.00246488424450885
0.9,-0.0281003190787676,0.0688596340012702,-0.025656907065125,0.0048261794512463
0.91,-0.0269295933075465,0.0668505527214834,-0.026252945798012,0.00714628638851252
0.92,-0.0257768456976332,0.0648448532145835,-0.0268192280369241,0.00942266684762269
0.93,-0.0246424939018826,0.0628441612126459,-0.0273553580313328,0.0116529153320171
0.94,-0.0235269347223493,0.0608500718079779,-0.0278609983063989,0.0138347592540569
0.95,-0.0224305438329794,0.0588641477675532,-0.028335868634201,0.0159660588913865
