Czas,Pozycja_X,Pozycja_Y,Kat_Alpha,Kat_Beta,Silownik_1,Silownik_2,Silownik_3
0.76,0.0668315459103538,-0.0556929549252948,-0.00599563887148088,0.00499636572623406,0.00149890971787022,0.000808257813450863,-0.00230716753132108
0.77,0.0652703394694268,-0.0543919495578556,-0.00430138201887335,0.00358448501572778,0.00107534550471833,0.000579859077558607,-0.00165520458227694
0.78,0.0637049317986905,-0.0530874431655754,-0.00261663822672732,0.0021805318556061,0.000654159556681829,0.000352742774716884,-0.00100690233139871
0.79,0.0621365100881252,-0.0517804250734377,-0.000943913420140661,0.000786594516783877,0.000235978355035163,0.000127246722726879,-0.000363225077762041
0.8,0.060566254861774,-0.0504718790514783,0.000714368576834809,-0.000595307147362349,-0.000178592144208705,-9.63023284569318e-05,0.000274894472665637
0.81,0.0589953382218048,-0.049162781851504,0.00235586805248245,-0.00196322337706872,-0.000588967013120616,-0.000317588967863885,0.000906555980984501
0.82,0.0574249221501026,-0.0478541017917522,0.00397833118044553,-0.00331527598370462,-0.000994582795111385,-0.000536309362524376,0.00153089215763576
0.83,0.0558561568688001,-0.0465467973906667,0.00557959156189163,-0.00464965963490971,-0.00139489789047291,-0.000752171465365379,0.00214706935583829
0.84,0.054290179260989,-0.0452418160508242,0.00715757154421599,-0.00596464295351334,-0.001789392886054,-0.000964895192981699,0.0027542880790357
0.85,0.0527281113526938,-0.0439400927939115,0.00871028332367061,-0.00725856943639219,-0.00217757083091766,-0.00117421257427878,0.00335178340519644
0.86,0.0511710588570306,-0.0426425490475255,0.0102358298392879,-0.00852985819940657,-0.00255895745982197,-0.00137986787098044,0.00393882533080241
0.87,0.049620109781325,-0.0413500914844375,0.0117324054654419,-0.00977700455453495,-0.00293310136636048,-0.00158161767099139,0.00451471903735187
0.88,0.0480763330978139,-0.0400636109148449,0.01319829651036,-0.0109985804253001,-0.00329957412759002,-0.00177923095560038,0.0050788050831904
0.89,0.0465407774784182,-0.0387839812320151,0.0146318815278582,-0.0121932346065485,-0.00365797038196455,-0.00197248914150456,0.00563045952346911
0.9,0.0450144700939344,-0.037512058411612,0.0160316314495317,-0.0133596928746098,-0.00400790786238294,-0.00216118609862974,0.00616909396101267
0.91,0.043498415477864,-0.0362486795648867,0.0173961095445824,-0.0144967579538187,-0.00434902738614561,-0.00234512814471479,0.0066941555308604
0.92,0.0419935944549737,-0.0349946620458114,0.0187239712144079,-0.01560330934534,-0.00468099280360199,-0.00252413401762076,0.00720512682122275
0.93,0.0405009631345571,-0.0337508026121309,0.0200139636290188,-0.0166783030241823,-0.00500349090725469,-0.00269803482631707,0.00770152573357176
0.94,0.0390214519682557,-0.0325178766402131,0.021264925212282,-0.017720771010235,-0.0053162313030705,-0.00286667398148847,0.00818290528455896
0.95,0.037555964872183,-0.0312966373934858,0.0224757849829195,-0.0187298208190996,-0.00561894624572987,-0.00302990710669658,0.00864885335242645
0.96,0.0361053784129911,-0.0300878153441592,0.0236455617581119,-0.0197046347984266,-0.00591139043952799,-0.00318760193101964,0.00909899237054762
0.97,0.0346705410574194,-0.0288921175478495,0.024773363226479,-0.0206444693553992,-0.00619334080661975,-0.00333963816408313,0.00953297897070287
0.98,0.0332522724847654,-0.0277102270706378,0.0258583848971197,-0.0215486540809331,-0.00646459622427992,-0.00348590735438249,0.0099505035786624
0.99,0.0318513629616293,-0.0265428024680244,0.0268999089313077,-0.0224165907760898,-0.00672497723282694,-0.00362631273178665,0.0103512899646136
1,0.0304685727781962,-0.0253904773151635,0.027897302863341,-0.0232477523861175,-0.00697432571583525,-0.00376076903509887,0.0107350947509341
1.01,0.0291046317452356,-0.0242538597876963,0.028850018216946,-0.024041681847455,-0.00721250455423651,-0.00388920232553747,0.011101706879774
1.02,0.0277602387509243,-0.0231335322924369,0.0297575890235368,-0.0247979908529473,-0.0074393972558842,-0.00401154978698584,0.01145094704287
1.03,0.0264360613765207,-0.0220300511471006,0.0306196302485196,-0.025516358540433,-0.00765490756212991,-0.00412775951384637,0.0117826670759763
1.04,0.0251327355698543,-0.0209439463082119,0.0314358361317277,-0.0261965301097731,-0.00785895903293192,-0.00423779028731831,0.0120967493202502
1.05,0.0238508653755264,-0.019875721146272,0.0322059784479546,-0.0268383153732955,-0.00805149461198865,-0.00434161134090451,0.0123931059528932
1.06,0.0225910227206593,-0.0188258522672161,0.0329299046934418,-0.0274415872445349,-0.00823247617336047,-0.00443920211593608,0.0126716782892965
1.07,0.0213537472549761,-0.0177947893791467,0.033607536204055,-0.0280062801700459,-0.00840188405101376,-0.00453055200788819,0.0129324360589019
1.08,0.0201395462439388,-0.0167829552032823,0.0342388662107627,-0.0285323885089689,-0.00855971655269068,-0.0046156601042438,0.0131753766569345
1.09,0.0189488945136274,-0.0157907454280228,0.0348239578379081,-0.0290199648649235,-0.00870598945947705,-0.00469453491464548,0.0134005243741225
1.1,0.0177822344459965,-0.014818528704997,0.0353629420496371,-0.0294691183746976,-0.00884073551240929,-0.00476719409405816,0.0136079296064674
1.11,0.0166399760231077,-0.0138666466859231,0.0358560155497172,-0.0298800129580977,-0.0089640038874293,-0.00483366415964883,0.0137976680470781
1.12,0.015522496918898,-0.0129354140990817,0.0363034386398536,-0.0302528655332114,-0.00907585965996342,-0.00489398020207114,0.0139698398620346
1.13,0.0144301426370128,-0.0120251188641773,0.0367055330414748,-0.030587944201229,-0.0091763832603687,-0.00494818559182552,0.0141245688521942
1.14,0.013363226693203,-0.0111360222443359,0.0370626796858263,-0.0308855664048553,-0.00926566992145658,-0.00499633168134701,0.0142620016028036
1.15,0.0123220308407602,-0.0102683590339669,0.037375316477079,-0.0311460970642326,-0.00934382911926977,-0.00503847750345518,0.0143823066227249
1.16,0.0113068053374401,-0.00942233778120011,0.0376439360330194,-0.0313699466941829,-0.00941098400825487,-0.00507468946678194,0.0144856734750368
1.17,0.0103177692523086,-0.00859814104359051,0.0378690834077534,-0.0315575695064612,-0.00946727085193836,-0.00510504104877469,0.0145723119007131
1.18,0.00935511081092597,-0.00779592567577163,0.0380513538007183,-0.0317094615005986,-0.00951283845017959,-0.00512961248685369,0.0146424509370333
1.19,0.00841898777727403,-0.00701582314772834,0.0381913902561579,-0.0318261585467983,-0.00954784756403949,-0.00514849046828373,0.0146963380323232
1.2,0.00750952787082102,-0.00625793989235083,0.0382898813570772,-0.031908234464231,-0.00957247033926931,-0.00516176781930166,0.014734238158571
1.21,0.00662682921711179,-0.00552235768092647,0.0383475589175542,-0.0319562990979619,-0.00958688972938856,-0.00516954319402245,0.014756432923411
1.22,0.00577096083026776,-0.00480913402522312,0.0383651956771473,-0.0319709963976228,-0.00959129891928684,-0.00517192076362774,0.0147632196829146
1.23,0.00494196312577954,-0.00411830260481627,0.0383436030009966,-0.0319530025008305,-0.00958590075024916,-0.00516900990632191,0.0147549106565711
1.24,0.00413984846197652,-0.00344987371831375,0.038283628589079,-0.0319030238242325,-0.00957090714726976,-0.00516092489852231,0.0147318320457921
1.25,0.00336460170856205,-0.00280383475713503,0.0381861541979388,-0.031821795164949,-0.0095465385494847,-0.00514778460773108,0.0146943231572158
1.26,0.00261618084060894,-0.00218015070050743,0.0380520933780757,-0.0317100778150632,-0.00951302334451895,-0.00512971218751789,0.0146427355320368
